,originalTitle,rating,startYear,endYear,runtimeMinutes,awardWins,totalImages,totalVideos,totalCredits,criticReviewsTotal,titleType,awardNominationsExcludeWins,canHaveEpisodes,isRatable,isAdult,numRegions,userReviewsTotal,countryOfOrigin,genre1,genre2,genre3,totVotes
9155,Porsche Challenge,7,1997,,28,0.0,2,0,0,0,videoGame,0,False,True,False,1,0,['GB'],Sport,,,34
9156,The Time Shifters,6,1999,,81,0.0,3,2,112,9,tvMovie,1,False,True,False,16,40,['US'],Action,Sci-Fi,Thriller,2842
9157,Seeya Rach,6,2007,,7,0.0,0,1,7,0,short,0,False,True,False,1,0,['AU'],Drama,Short,,9
9158,The Lost Ones: (Part Two),8,1981,,50,0.0,7,0,64,0,tvEpisode,0,False,True,False,1,4,['US'],Drama,Family,Romance,259
9159,Career Opportunities,6,1991,,83,0.0,154,1,157,33,movie,0,False,True,False,36,127,['US'],Comedy,Romance,,18172
9160,Maccadam's,8,2018,,11,0.0,7,0,58,0,tvEpisode,0,False,True,False,1,0,['US'],Action,Animation,Sci-Fi,30
9161,PilotsEYE.tv - Sonderflug 01. Mai 2007: Nordpol,9,2007,,82,0.0,1,0,3,0,tvEpisode,0,False,True,False,2,0,['DE'],,,,7
9162,Al abwab al Moghlaka,7,1999,,92,8.0,88,0,26,1,movie,2,False,True,False,9,2,"['EG', 'FR']",Drama,,,344
9163,Eien ni sayonara,9,2002,,23,0.0,1,0,30,0,tvEpisode,0,False,True,False,1,0,['JP'],Action,Adventure,Animation,49
9164,Jet Moto 3,7,1999,,28,0.0,2,1,5,0,videoGame,0,False,True,False,1,0,['US'],Action,Adventure,Sport,11
9165,Met onze jongens aan de Ijzer,8,1926,,92,0.0,0,0,4,1,movie,0,False,True,False,1,0,['BE'],Documentary,,,13
9166,KoranKinder,7,2009,,86,1.0,1,0,43,13,movie,1,False,True,False,2,0,['DE'],Documentary,,,11
9167,Asking for Flowers,8,2008,,41,0.0,3,0,139,0,tvEpisode,0,False,True,False,1,0,['CA'],Action,Crime,Drama,285
9168,Arnav hurts Khushi,10,2011,,40,0.0,0,0,12,0,tvEpisode,0,False,True,False,1,0,['IN'],Drama,Romance,,6
9169,I moschettieri del mare,6,1962,,116,,6,0,67,0,movie,0,False,True,False,9,1,"['IT', 'FR']",Adventure,,,84
9170,My Faithful Husband,9,2015,2015.0,53,,2,0,16,0,tvSeries,0,True,True,False,1,4,['PH'],Drama,,,12
9171,Charer Master,8,2021,,75,0.0,3,0,11,0,tvMovie,0,False,True,False,1,0,['BD'],,,,43
9172,Jimi,8,1970,,10,0.0,0,0,15,0,short,0,False,True,False,1,0,['XWG'],Mystery,Short,,5
9173,Ça c'est du cinéma,4,1951,,89,0.0,3,0,31,0,movie,0,False,True,False,6,3,['FR'],Comedy,,,33
